Date,Symbols,Close,High,Low,Open,Volume
2021-10-08,GOOGL,2795.71,2806.6207,2784.35,2791.54,1326292
2021-10-08,FB,330.05,333.4,328.71,331.51,15946110
2021-10-08,PFE,42.081,42.532,41.972,42.358,12890767
2021-10-08,BNTX,245.95,257.8999,243.2,252.03,1916118
2021-10-08,MRNA,304.91,314.05,297.5404,310.8,10631839
2021-10-08,AMZN,3288.62,3321.43,3288.2,3317.0,1998217
2021-10-07,AAPL.US,143.08,144.0,142.51,142.85,61822753
2021-10-07,GOOGL,2784.5,2800.84,2773.024,2777.84,1255507
2021-10-07,FB,329.22,338.84,328.98,337.0,28307456
2021-10-07,PFE,42.368,42.586,41.843,42.15,19951915
2021-10-07,BNTX,246.57,252.59,232.06,235.8,2585488
2021-10-07,MRNA,309.36,317.3499,293.58,295.46,15790955
2021-10-07,AMZN,3302.43,3325.746,3283.06,3291.54,2409075
2021-10-06,AAPL.US,141.79,141.94,138.17,139.27,83342577
2021-10-06,GOOGL,2751.3,2755.0,2691.0,2695.0,1218214
2021-10-06,FB,333.64,334.38,325.8,329.77,26443010
2021-10-06,PFE,41.654,41.833,41.327,41.694,30751427
2021-10-06,BNTX,236.14,248.54,233.75,246.96,2434175
2021-10-06,MRNA,302.42,325.68,300.62,318.71,17457365
2021-10-06,AMZN,3262.01,3264.34,3198.62,3213.53,2532977
2021-10-05,AAPL.US,140.9,142.03,139.16,139.29,80979076
2021-10-05,GOOGL,2720.46,2744.49,2680.82,2680.82,1620163
2021-10-05,FB,332.96,335.18,326.1638,328.58,35377947
2021-10-05,PFE,41.952,42.418,41.912,42.16,19512341
2021-10-05,BNTX,250.12,258.0,248.92,253.952,2038466
2021-10-05,MRNA,332.11,338.0328,327.2001,331.0,11637491
2021-10-05,AMZN,3221.0,3260.73,3202.464,3204.5,3269208
2021-10-04,AAPL.US,138.94,142.0,138.07,141.55,98465506
2021-10-04,GOOGL,2673.19,2719.21,2621.0,2719.21,2560097
2021-10-04,FB,326.23,335.94,322.7,335.53,42884975
2021-10-04,PFE,42.051,42.968,41.843,42.556,29160285
2021-10-04,BNTX,248.9,252.37,233.5,234.93,3718960
2021-10-04,MRNA,325.84,330.555,305.0,308.88,23331461
2021-10-04,AMZN,3189.78,3279.99,3176.25,3279.39,4523057
